camera,Age,Ram,Cpu_score,Slot_sd,Sims,Price
166,52,16,83,0,1,3392
139,158,4,76,1,1,4887
132,106,16,69,1,2,1244
40,69,8,74,1,1,1558
103,63,66,77,1,1,4414
197,126,16,55,1,2,5739
171,183,66,43,1,1,2411
76,59,12,71,1,2,3571
129,150,4,74,0,2,5050
128,25,4,83,1,2,4395
23,91,66,64,1,2,2386
73,63,16,79,1,2,3590
150,169,16,52,1,1,7798
61,156,8,41,1,2,6587
65,136,4,61,1,2,3999
126,64,8,40,0,2,4007
54,83,8,75,0,2,3431
16,170,8,85,1,2,7731
189,105,12,69,0,2,2103
148,142,12,94,0,1,5365
170,8,12,92,1,1,3999
132,139,12,53,0,2,1036
32,33,8,41,1,2,2234
20,127,66,58,1,2,3924
25,29,66,88,0,2,2656
118,117,66,76,0,1,4288
134,68,66,96,0,1,1715
166,173,8,81,0,2,1548
64,61,12,96,0,2,3442
22,180,4,75,1,2,1937
44,61,16,62,1,2,1597
39,21,4,50,1,1,7704
94,79,12,79,0,1,7376
172,130,12,97,1,1,5802
193,181,66,42,0,1,7784
197,108,4,93,1,2,5237
153,79,66,100,0,1,1102
14,145,66,94,0,1,7463
116,180,16,60,1,2,7325
50,138,4,87,1,2,1613
19,188,8,69,1,2,1617
144,103,16,92,1,2,3281
57,177,16,74,1,2,6240
85,47,16,60,1,1,1097
131,118,4,89,1,2,6289
71,171,66,41,1,1,7696
50,170,12,93,1,1,7553
62,12,16,94,1,1,1875
152,11,66,65,1,2,7969
160,149,16,63,0,1,5122
119,185,12,81,1,2,2075
103,86,4,80,1,1,7095
71,73,4,80,1,1,7720
106,174,66,90,1,1,7823
30,30,4,95,0,1,4877
111,57,16,98,1,1,7900
35,85,16,87,1,2,6699
40,51,4,56,0,2,5415
152,22,12,97,0,2,4236
194,161,8,64,0,1,1711
68,76,12,100,1,2,4850
113,147,16,96,0,2,4944
62,56,4,48,1,2,7819
129,171,12,58,1,2,7693
168,168,12,68,1,2,2687
152,194,12,40,0,2,1727
67,66,16,40,0,2,2280
100,103,16,69,1,2,3848
135,160,12,50,0,2,5876
63,196,12,80,1,1,2999
96,59,8,57,0,2,2195
13,99,4,96,1,2,3760
89,200,16,79,1,2,3181
63,16,4,77,0,1,6108
68,81,4,50,1,2,7359
193,140,12,64,1,2,4768
35,137,16,71,0,2,5764
26,94,12,62,0,1,1989
95,73,12,86,1,2,1162
191,35,4,93,1,1,4368
28,115,8,85,0,1,3441
17,169,12,100,0,2,3681
17,128,8,86,1,1,7638
163,146,16,78,1,1,2169
193,197,66,74,1,2,3865
114,180,4,42,0,2,1472
186,127,12,93,1,1,7691
15,93,12,47,0,2,5504
65,177,66,86,0,1,3261
86,63,16,87,0,1,4188
76,128,66,99,0,2,2096
31,65,8,73,1,1,7752
83,134,66,80,0,1,3257
135,78,4,80,1,2,6127
132,72,12,96,0,2,4628
177,63,12,98,0,1,2981
175,26,12,70,1,1,4877
78,180,12,87,1,2,2852
10,186,12,40,1,1,1232
79,156,12,55,1,2,6367
35,14,4,52,0,1,3665
183,20,4,96,1,2,5748
190,134,16,61,1,1,920
101,161,12,77,0,1,4917
155,71,16,86,0,1,4635
142,183,66,41,0,1,4971
56,114,66,97,0,2,1421
150,114,12,93,0,2,4820
68,123,8,97,0,2,4163
63,188,8,58,0,2,3230
60,79,66,55,0,1,7223
59,24,4,81,0,2,3728
173,86,12,90,0,2,4839
50,99,8,63,0,2,7430
143,59,12,97,0,2,4002
155,188,12,72,1,1,2240
157,160,4,83,0,2,2230
93,40,12,94,1,1,4606
191,145,12,72,0,1,4399
22,23,4,79,0,2,5580
137,79,16,71,1,2,2123
56,35,66,81,1,2,6446
122,80,8,92,1,1,7900
115,123,12,59,1,1,1095
163,165,8,72,0,1,1071
105,112,66,99,0,2,7665
166,39,16,40,1,2,7101
51,32,12,99,0,1,1945
17,103,12,76,1,2,5516
116,111,66,59,0,1,4400
132,104,66,98,1,2,1861
98,90,12,41,1,2,1024
27,25,12,58,1,2,5504
94,90,66,60,0,1,7727
59,196,4,95,1,1,3313
131,184,12,42,1,2,2305
118,155,12,68,1,1,4241
190,82,4,87,0,1,3106
129,16,12,61,1,2,4700
111,81,12,42,1,2,3973
24,33,12,53,1,2,4889
178,129,16,55,0,2,7962
74,135,66,99,0,1,1200
57,14,12,97,0,1,4231
196,122,8,63,1,1,3003
89,129,8,95,0,2,7819
76,172,4,75,0,1,3544
98,46,8,60,0,1,4032
42,167,4,44,1,1,3851
19,121,66,45,1,2,6703
90,85,4,52,1,2,5469
106,35,12,77,1,1,4304
195,17,8,64,0,1,7828
45,124,8,77,0,1,7093
155,52,66,96,0,1,2639
190,95,8,98,1,2,5567
127,148,66,72,1,2,3980
39,35,66,57,1,1,7158
102,43,8,82,1,2,5816
148,124,8,45,1,2,3283
86,115,16,76,1,2,6522
192,72,4,88,0,2,3601
37,21,16,86,0,1,5372
66,181,12,94,0,1,1811
39,162,16,70,1,1,3699
170,189,16,45,1,2,1881
20,72,16,63,1,1,1748
47,157,16,98,0,1,7428
49,36,66,62,1,2,4959
142,188,16,45,0,1,2673
100,145,4,56,1,1,5458
115,145,8,94,1,2,3943
117,112,12,41,0,1,5465
125,48,66,73,1,2,7539
197,146,8,69,1,1,5845
172,51,4,96,0,1,7221
173,160,12,61,0,2,5760
66,146,12,53,0,1,6047
44,19,66,69,0,2,936
125,195,16,87,0,1,5767
51,31,16,72,0,2,2539
151,181,12,73,0,2,4764
36,72,12,80,1,2,3867
72,134,16,80,0,1,2678
62,174,16,99,1,1,3552
29,188,16,51,1,2,4583
103,139,8,74,0,2,6498
66,132,4,40,0,1,923
100,151,12,49,1,2,3548
51,41,16,74,1,1,5615
82,50,16,76,1,2,4483
22,170,8,98,0,2,1950
184,29,12,47,1,1,1756
73,18,4,83,1,2,6426
113,152,66,49,1,2,2296
198,197,8,100,0,1,2983
106,185,12,83,1,1,2437
76,113,12,90,1,2,1812
56,101,8,44,1,1,5976
138,173,8,49,0,1,1406
64,145,4,95,1,1,3745
191,139,16,83,1,2,5040
172,78,16,59,1,2,3248
103,63,8,91,0,1,5533
196,156,4,64,1,1,5942
43,75,4,80,0,1,5788
34,164,16,57,0,1,4353
195,154,4,46,0,2,6781
159,196,66,94,1,2,7539
37,95,4,80,1,1,1455
131,83,12,94,1,2,2111
177,27,66,78,0,2,3283
74,100,66,58,1,1,1963
61,28,16,53,0,1,7427
200,195,16,46,1,2,2391
48,198,8,54,0,1,7659
97,15,12,75,0,2,2949
131,81,8,42,0,2,1503
92,61,12,78,1,2,5070
39,188,66,98,1,2,1861
66,170,4,91,0,1,7350
154,79,66,96,1,2,7570
194,10,16,93,1,1,3367
121,192,8,85,0,2,5822
162,197,8,74,1,1,7201
70,136,4,59,0,2,3509
67,149,4,55,0,2,6578
186,168,8,52,1,1,1900
105,60,12,60,1,2,2785
124,131,12,75,0,2,7275
186,21,8,98,1,2,950
118,122,8,47,0,2,3022
75,101,4,45,0,2,3471
200,121,4,83,1,1,5244
85,174,4,44,1,1,2232
24,150,16,66,0,2,2911
146,181,66,98,1,2,6393
48,55,4,65,0,1,6265
32,166,4,81,1,2,3979
52,95,8,66,1,2,904
158,92,66,94,1,2,7056
35,84,4,46,1,1,5384
160,195,66,65,0,2,3958
29,191,4,93,0,1,7433
74,147,4,43,0,1,7282
145,124,16,80,1,1,7654
122,114,66,74,0,1,4654
123,171,16,46,1,2,5722
26,50,12,76,1,2,3239
13,106,4,56,0,1,1458
182,172,4,41,1,1,4186
127,102,16,64,0,1,2909
16,178,12,60,0,2,4233
161,42,12,91,1,1,6655
25,119,66,94,1,1,3786
180,109,4,66,0,1,5690
44,158,16,82,1,2,1899
49,167,66,73,0,2,7225
150,176,66,53,1,2,7154
185,41,8,76,0,1,5703
148,161,66,85,1,1,2968
59,121,8,71,0,2,5126
184,52,16,63,1,2,1079
82,107,16,100,0,2,1507
64,128,16,84,0,1,1132
158,106,12,78,1,2,1271
178,195,16,76,0,2,7764
108,29,12,61,1,1,7365
152,144,8,71,0,1,7588
113,185,4,71,0,1,5480
91,119,66,94,0,1,6960
20,147,66,73,0,2,7859
103,145,4,57,1,2,2283
24,53,66,91,1,1,7475
113,29,8,66,0,1,7473
148,164,12,78,1,1,2990
182,69,4,87,1,1,5410
119,134,8,66,0,1,1156
173,75,8,69,1,1,3391
187,166,16,65,0,2,4586
163,131,12,83,0,2,3384
82,107,12,54,0,1,3036
27,185,16,71,1,2,3376
15,111,12,82,0,2,2057
125,142,8,69,1,2,4043
9,73,16,49,1,1,6669
66,48,8,68,1,1,7400
123,116,12,98,0,2,4085
95,162,4,81,1,2,5039
121,63,8,76,1,2,6178
129,147,4,100,0,1,3845
147,199,12,46,0,2,2865
149,77,8,89,1,1,7293
165,100,4,97,1,1,3182
68,96,4,59,1,2,3060
88,90,66,93,0,2,6778
185,78,8,78,1,1,7883
40,39,12,100,0,2,5367
66,30,8,45,1,2,6911
153,101,66,81,1,2,5500
31,76,12,46,1,1,1345
93,26,66,93,0,2,976
158,91,4,91,0,2,2780
83,190,4,67,0,2,1532
38,75,4,87,0,2,1951
123,51,66,95,1,2,7342
76,89,12,65,0,2,7534
200,22,8,65,0,1,3182
95,28,12,46,1,2,5304
124,139,12,64,1,2,7328
147,148,4,61,1,2,4476
117,56,8,96,1,2,6405
8,147,8,93,1,1,6303
86,103,66,78,0,1,4690
55,14,4,100,0,1,2659
185,78,4,94,1,2,3468
138,34,12,100,0,1,7581
182,160,12,41,0,2,4401
63,86,16,94,0,2,3812
16,113,4,69,0,2,951
122,196,16,94,1,2,4074
96,106,12,45,1,1,6050
152,85,8,78,0,2,3101
48,179,12,96,0,1,3487
149,135,8,60,1,1,3666
75,169,12,74,1,2,2056
178,181,4,86,0,1,7396
29,181,16,81,0,1,2493
159,83,16,61,1,1,5000
54,26,8,87,1,1,2165
195,10,16,65,0,2,3499
54,149,4,72,1,1,2731
125,119,16,69,1,1,3294
172,143,12,83,1,1,4859
40,181,8,42,1,2,5217
128,50,16,67,1,1,3678
129,184,8,89,1,1,7629
167,64,4,55,1,1,4351
23,59,16,74,1,1,3526
167,138,8,60,0,2,2682
104,27,12,75,1,1,7593
103,73,4,66,1,1,7390
175,55,12,49,0,1,6975
185,122,8,43,0,1,6052
194,11,66,63,1,1,7033
120,103,4,87,1,1,6003
126,128,66,56,0,1,5025
98,120,66,40,0,2,3750
23,100,66,43,0,1,2606
112,174,4,68,0,1,2051
89,8,16,70,0,2,7483
191,141,8,42,1,1,7708
181,47,4,77,0,2,4225
80,46,4,83,1,1,5854
195,187,16,74,0,2,5321
25,37,12,51,0,2,3374
169,162,12,61,1,1,4404
155,169,4,48,0,1,4560
78,145,66,63,0,1,7477
183,165,8,59,0,2,1056
154,64,12,81,0,1,6380
98,183,16,47,0,2,3693
67,175,4,97,0,1,2798
199,175,66,62,0,1,1632
11,28,12,47,0,1,4113
138,183,66,89,0,2,2804
80,36,16,61,0,2,3896
126,155,12,43,0,1,2713
53,44,66,96,0,2,6872
74,20,8,92,1,2,4923
137,153,4,62,0,2,1106
102,26,8,49,1,2,1974
131,40,66,88,0,2,4030
41,178,4,79,0,2,4419
190,196,4,98,1,2,6573
171,78,66,94,1,1,1987
36,177,16,77,0,2,2095
183,199,12,81,1,2,3999
127,164,66,80,1,2,3921
138,187,66,65,1,2,6667
165,192,8,61,0,2,7637
185,87,4,95,0,1,5409
59,139,16,87,1,2,7788
80,143,12,82,0,2,5267
128,140,4,100,0,1,1730
90,78,12,60,0,1,7943
36,9,4,70,1,2,3672
18,80,8,73,0,2,3063
156,58,4,42,1,1,7575
130,15,16,42,0,2,3326
61,54,66,49,1,1,4638
61,151,66,49,1,1,1425
21,180,8,75,0,2,7964
182,100,66,75,1,2,2571
48,137,66,46,0,2,4508
127,105,4,85,0,2,6284
54,199,66,91,1,1,4247
152,43,16,52,0,2,7396
70,107,12,83,1,2,3040
122,167,8,63,1,1,3566
62,17,16,81,1,1,1431
91,76,16,43,0,2,6974
32,139,16,82,0,1,5960
52,103,66,98,1,2,2215
9,53,4,83,0,2,2769
156,62,4,91,1,2,3644
53,32,12,63,1,1,1647
168,147,16,93,0,1,4050
55,76,16,97,1,2,6356
37,169,8,100,1,2,4229
28,110,66,78,0,2,6051
64,173,66,71,1,1,6469
30,122,12,41,0,1,4141
102,26,16,53,1,1,1041
199,25,16,66,1,2,3421
192,73,4,76,1,1,3172
104,95,8,87,0,2,4006
59,43,16,69,0,2,1611
81,83,66,64,1,1,2291
158,10,16,71,0,2,3517
105,95,12,92,1,2,3668
143,93,12,74,0,1,3971
31,115,12,82,0,1,1570
166,22,12,90,0,1,2146
159,195,12,79,1,2,5832
176,47,8,79,1,2,5254
112,69,12,75,1,1,6949
102,99,4,63,1,2,1052
45,196,16,79,0,1,3469
100,80,66,77,1,2,4714
132,88,12,64,1,1,2118
33,157,66,68,0,2,2768
43,117,66,99,1,2,1008
156,149,66,47,1,2,5160
31,57,16,73,0,2,6827
97,57,12,54,1,1,7187
144,135,66,75,1,2,6323
92,65,8,82,0,2,1265
36,157,8,56,0,1,1035
146,144,66,61,0,1,6182
11,115,66,61,1,1,6095
193,91,16,46,1,2,2679
164,182,8,65,0,2,2588
101,166,12,65,0,1,2615
60,196,66,47,0,1,4085
74,141,4,57,1,2,7834
44,200,4,63,0,1,4864
